iso3_r250_label,Year,n_TotalRetention(kg),n_EstimatedRetention(kg),n_Price(usd),n_ServiceValue(usd),p_TotalRetention(kg),p_EstimatedRetention(kg),p_Price(usd),p_ServiceValue(usd),DomesticWaterUseFraction
BWA,2019,982167527.6259987,494091310.8577884,2.4874935,1229048924.165228,180757617.4175687,90932316.1530809,8.6797962,789273972.2027102,0.5030621528
LSO,2019,100357215.80087872,45825212.69785623,0.37528932,17197712.91223383,32488178.48230829,14834784.696215715,1.3095249,19426519.945833415,0.4566210046
NOR,2019,NA,NA,26.508402,NA,NA,NA,92.497719,NA,0.28972467479999997
BVT,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
PCN,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
VAT,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
CHE,2019,189894523.19874805,101858733.43940447,29.175989,2971829286.381997,67784125.43046674,36359159.00754419,101.80593,3701577996.7809134,0.5363963727000001
ALB,2019,681365566.2311563,185483905.3679999,1.8938386,351276579.66466546,198787867.6809293,54114783.40648491,6.6083117,357607356.32804006,0.2722237732
NGA,2019,3231528491.5717225,1295201800.2084239,0.78562284,1017540116.6528546,1522477656.502827,610211485.5625119,2.7413321,1672792333.1612005,0.40080160319999997
ROU,2019,1617909346.166208,257080356.98891616,4.506022,1158409744.35991,724400968.9616864,115104879.11147511,15.723198,1809816805.0357873,0.15889663880000002
LKA,2019,182769837.24090132,11364878.647681667,1.4157397,16089709.887205249,81274348.70338948,5053750.247454289,4.9400454,24965755.662685424,0.06218136876
SRB,2019,489959228.96179736,112915058.43221168,2.6898835,303728352.5783421,220853063.2167008,50897370.76876477,9.3860111,477723286.99644166,0.23045807029999998
MUS,2019,NA,NA,3.9549851,NA,NA,NA,13.800425,NA,0.23045807029999998
MDV,2019,NA,NA,4.0718727,NA,NA,NA,14.208289,NA,0.23045807029999998
